"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.88179347826087	1	1	"Sleep"	"Yes"	0.1
2	0.718579234972678	1	1	"Sleep"	"Yes"	0.1
3	0.893617021276596	1	1	"Sleep"	"Yes"	0.1
4	0.811355311355311	1	1	"Sleep"	"Yes"	0.1
5	0.897902097902098	1	1	"Sleep"	"Yes"	0.1
6	0.818681318681319	1	1	"Sleep"	"Yes"	0.1
7	0.866433566433566	1	1	"Sleep"	"Yes"	0.1
8	0.87140902872777	1	1	"Sleep"	"Yes"	0.1
9	0.847321005215742	1	1	"Sleep"	"Yes"	0.1
10	0.908624708624709	1	1	"Sleep"	"Yes"	0.1
11	0.863251879699248	1	1	"Sleep"	"Yes"	0.1
12	0.772664519098021	1	1	"Sleep"	"Yes"	0.1
13	0.879659456971928	1	1	"Sleep"	"Yes"	0.1
14	0.914893617021277	1	1	"Sleep"	"Yes"	0.1
15	0.861702127659574	1	1	"Sleep"	"Yes"	0.1
16	0.912962962962963	1	1	"Sleep"	"Yes"	0.1
17	0.868589743589744	1	1	"Sleep"	"Yes"	0.1
18	0.823260073260073	1	1	"Sleep"	"Yes"	0.1
19	0.857352941176471	1	1	"Sleep"	"Yes"	0.1
20	0.876915708812261	1	1	"Sleep"	"Yes"	0.1
21	0.84963768115942	1	1	"Sleep"	"Yes"	0.1
22	0.917433414043584	1	1	"Sleep"	"Yes"	0.1
23	0.860834518729256	1	1	"Sleep"	"Yes"	0.1
24	0.882183908045977	1	1	"Sleep"	"Yes"	0.1
25	0.922252621979024	1	1	"Sleep"	"Yes"	0.1
26	0.875059269796112	1	1	"Sleep"	"Yes"	0.1
27	0.811522048364154	1	1	"Sleep"	"Yes"	0.1
28	0.834313725490196	1	1	"Sleep"	"Yes"	0.1
29	0.826340326340326	1	1	"Sleep"	"Yes"	0.1
30	0.899725274725275	1	1	"Sleep"	"Yes"	0.1
1	0.923534798534799	2	2	"Sleep"	"Yes"	0.1
2	0.921306948918546	2	2	"Sleep"	"Yes"	0.1
3	0.939415708812261	2	2	"Sleep"	"Yes"	0.1
4	0.948087431693989	2	2	"Sleep"	"Yes"	0.1
5	0.93796992481203	2	2	"Sleep"	"Yes"	0.1
6	0.956416464891041	2	2	"Sleep"	"Yes"	0.1
7	0.885808270676692	2	2	"Sleep"	"Yes"	0.1
