"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
1	0.922368421052632	1	1	"Sleep"	"Yes"	0
2	0.908730158730159	1	1	"Sleep"	"Yes"	0
3	0.89484126984127	1	1	"Sleep"	"Yes"	0
4	0.898483849703362	1	1	"Sleep"	"Yes"	0
5	0.897368421052632	1	1	"Sleep"	"Yes"	0
6	0.871794871794872	1	1	"Sleep"	"Yes"	0
7	0.943396226415094	1	1	"Sleep"	"Yes"	0
8	0.948717948717949	1	1	"Sleep"	"Yes"	0
9	0.920516304347826	1	1	"Sleep"	"Yes"	0
10	0.936184210526316	1	1	"Sleep"	"Yes"	0
11	0.928475935828877	1	1	"Sleep"	"Yes"	0
12	0.858974358974359	1	1	"Sleep"	"Yes"	0
13	0.892379679144385	1	1	"Sleep"	"Yes"	0
14	0.948717948717949	1	1	"Sleep"	"Yes"	0
15	0.936184210526316	1	1	"Sleep"	"Yes"	0
16	0.909868421052632	1	1	"Sleep"	"Yes"	0
17	0.897435897435897	1	1	"Sleep"	"Yes"	0
18	0.871052631578947	1	1	"Sleep"	"Yes"	0
19	0.903532608695652	1	1	"Sleep"	"Yes"	0
20	0.89572192513369	1	1	"Sleep"	"Yes"	0
21	0.871710526315789	1	1	"Sleep"	"Yes"	0
22	0.858552631578947	1	1	"Sleep"	"Yes"	0
23	0.91025641025641	1	1	"Sleep"	"Yes"	0
24	0.858974358974359	1	1	"Sleep"	"Yes"	0
25	0.922874093605801	1	1	"Sleep"	"Yes"	0
26	0.898483849703362	1	1	"Sleep"	"Yes"	0
27	0.883651944627554	1	1	"Sleep"	"Yes"	0
28	0.897368421052632	1	1	"Sleep"	"Yes"	0
29	0.897435897435897	1	1	"Sleep"	"Yes"	0
30	0.936387607119314	1	1	"Sleep"	"Yes"	0
1	0.962301587301587	2	2	"Sleep"	"Yes"	0
2	0.877389584706658	2	2	"Sleep"	"Yes"	0
3	0.925986842105263	2	2	"Sleep"	"Yes"	0
4	0.962171052631579	2	2	"Sleep"	"Yes"	0
5	0.937828947368421	2	2	"Sleep"	"Yes"	0
6	0.963085036255768	2	2	"Sleep"	"Yes"	0
7	0.946524064171123	2	2	"Sleep"	"Yes"	0
8	0.948582729070534	2	2	"Sleep"	"Yes"	0
9	0.938035596572182	2	2	"Sleep"	"Yes"	0
10	0.950032873109796	2	2	"Sleep"	"Yes"	0
11	0.949704142011834	2	2	"Sleep"	"Yes"	0
12	0.94726433750824	2	2	"Sleep"	"Yes"	0
13	0.953156146179402	2	2	"Sleep"	"Yes"	0
14	0.900065746219592	2	2	"Sleep"	"Yes"	0
15	0.909690177982861	2	2	"Sleep"	"Yes"	0
16	0.930679478380233	2	2	"Sleep"	"Yes"	0
17	0.882687165775401	2	2	"Sleep"	"Yes"	0
18	0.95120320855615	2	2	"Sleep"	"Yes"	0
19	0.890460526315789	2	2	"Sleep"	"Yes"	0
20	0.943521594684385	2	2	"Sleep"	"Yes"	0
21	0.961766644693474	2	2	"Sleep"	"Yes"	0
22	0.924851680949242	2	2	"Sleep"	"Yes"	0
23	0.948912326961107	2	2	"Sleep"	"Yes"	0
24	0.948026315789474	2	2	"Sleep"	"Yes"	0
25	0.911184210526316	2	2	"Sleep"	"Yes"	0
26	0.950396825396825	2	2	"Sleep"	"Yes"	0
27	0.9340804218853	2	2	"Sleep"	"Yes"	0
28	0.953464673913043	2	2	"Sleep"	"Yes"	0
29	0.962171052631579	2	2	"Sleep"	"Yes"	0
30	0.962962962962963	2	2	"Sleep"	"Yes"	0
1	0.92962962962963	2	3	"Sleep"	"Yes"	0
2	0.938205980066445	2	3	"Sleep"	"Yes"	0
3	0.935880398671096	2	3	"Sleep"	"Yes"	0
4	0.818421052631579	2	3	"Sleep"	"Yes"	0
5	0.880808080808081	2	3	"Sleep"	"Yes"	0
6	0.913543721236029	2	3	"Sleep"	"Yes"	0
7	0.98125	2	3	"Sleep"	"Yes"	0
8	0.887607119314436	2	3	"Sleep"	"Yes"	0
9	0.901644736842105	2	3	"Sleep"	"Yes"	0
10	0.937541091387245	2	3	"Sleep"	"Yes"	0
11	0.937705998681608	2	3	"Sleep"	"Yes"	0
12	0.833553065260382	2	3	"Sleep"	"Yes"	0
13	0.913486842105263	2	3	"Sleep"	"Yes"	0
14	0.911667765326302	2	3	"Sleep"	"Yes"	0
15	0.950328947368421	2	3	"Sleep"	"Yes"	0
16	0.921957671957672	2	3	"Sleep"	"Yes"	0
17	0.958922558922559	2	3	"Sleep"	"Yes"	0
18	0.945521390374332	2	3	"Sleep"	"Yes"	0
19	0.923734385272847	2	3	"Sleep"	"Yes"	0
20	0.951388888888889	2	3	"Sleep"	"Yes"	0
21	0.949241924851681	2	3	"Sleep"	"Yes"	0
22	0.964497041420118	2	3	"Sleep"	"Yes"	0
23	0.977941176470588	2	3	"Sleep"	"Yes"	0
24	0.965460526315789	2	3	"Sleep"	"Yes"	0
25	0.950657894736842	2	3	"Sleep"	"Yes"	0
26	0.962524654832347	2	3	"Sleep"	"Yes"	0
27	0.975	2	3	"Sleep"	"Yes"	0
28	0.925	2	3	"Sleep"	"Yes"	0
29	0.900461437046803	2	3	"Sleep"	"Yes"	0
30	0.948369565217391	2	3	"Sleep"	"Yes"	0
1	0.892526455026455	4	4	"Sleep"	"Yes"	0
2	0.901124338624339	4	4	"Sleep"	"Yes"	0
3	0.94067237969677	4	4	"Sleep"	"Yes"	0
4	0.958139534883721	4	4	"Sleep"	"Yes"	0
5	0.948082010582011	4	4	"Sleep"	"Yes"	0
6	0.907565789473684	4	4	"Sleep"	"Yes"	0
7	0.978174603174603	4	4	"Sleep"	"Yes"	0
8	0.908881578947368	4	4	"Sleep"	"Yes"	0
9	0.951515151515152	4	4	"Sleep"	"Yes"	0
10	0.954817275747508	4	4	"Sleep"	"Yes"	0
11	0.989700996677741	4	4	"Sleep"	"Yes"	0
12	0.932432432432432	4	4	"Sleep"	"Yes"	0
13	0.969099276791584	4	4	"Sleep"	"Yes"	0
14	0.857286096256685	4	4	"Sleep"	"Yes"	0
15	0.911513157894737	4	4	"Sleep"	"Yes"	0
16	0.924592391304348	4	4	"Sleep"	"Yes"	0
17	0.928571428571429	4	4	"Sleep"	"Yes"	0
18	0.933670033670034	4	4	"Sleep"	"Yes"	0
19	0.972222222222222	4	4	"Sleep"	"Yes"	0
20	0.925840474620962	4	4	"Sleep"	"Yes"	0
21	0.961461794019934	4	4	"Sleep"	"Yes"	0
22	0.930309007232084	4	4	"Sleep"	"Yes"	0
23	0.958890374331551	4	4	"Sleep"	"Yes"	0
24	0.901455026455027	4	4	"Sleep"	"Yes"	0
25	0.95385629531971	4	4	"Sleep"	"Yes"	0
26	0.980592105263158	4	4	"Sleep"	"Yes"	0
27	0.8875	4	4	"Sleep"	"Yes"	0
28	0.967105263157895	4	4	"Sleep"	"Yes"	0
29	0.882663150955834	4	4	"Sleep"	"Yes"	0
30	0.952205882352941	4	4	"Sleep"	"Yes"	0
1	0.942524916943522	5	5	"Sleep"	"Yes"	0
2	0.924342105263158	4	5	"Sleep"	"Yes"	0
3	0.942105263157895	4	5	"Sleep"	"Yes"	0
4	0.883300460223537	5	5	"Sleep"	"Yes"	0
5	0.912656558998022	5	5	"Sleep"	"Yes"	0
6	0.953648915187377	5	5	"Sleep"	"Yes"	0
7	0.932236842105263	5	5	"Sleep"	"Yes"	0
8	0.981907894736842	5	5	"Sleep"	"Yes"	0
9	0.924933862433862	5	5	"Sleep"	"Yes"	0
10	0.917989417989418	4	5	"Sleep"	"Yes"	0
11	0.925347222222222	5	5	"Sleep"	"Yes"	0
12	0.930263157894737	5	5	"Sleep"	"Yes"	0
13	0.979235332893869	5	5	"Sleep"	"Yes"	0
14	0.940460526315789	5	5	"Sleep"	"Yes"	0
15	0.976744186046512	4	5	"Sleep"	"Yes"	0
16	0.970665787738959	4	5	"Sleep"	"Yes"	0
17	0.910585141354372	5	5	"Sleep"	"Yes"	0
18	0.959535538353272	4	5	"Sleep"	"Yes"	0
19	0.915614617940199	4	5	"Sleep"	"Yes"	0
20	0.901834239130435	4	5	"Sleep"	"Yes"	0
21	0.862433862433862	5	5	"Sleep"	"Yes"	0
22	0.971984179301252	5	5	"Sleep"	"Yes"	0
23	0.962301587301587	5	5	"Sleep"	"Yes"	0
24	0.940828402366864	5	5	"Sleep"	"Yes"	0
25	0.956822676334872	4	5	"Sleep"	"Yes"	0
26	0.96578073089701	5	5	"Sleep"	"Yes"	0
27	0.930147058823529	5	5	"Sleep"	"Yes"	0
28	0.971052631578947	5	5	"Sleep"	"Yes"	0
29	0.94825313117996	5	5	"Sleep"	"Yes"	0
30	0.982804232804233	5	5	"Sleep"	"Yes"	0
1	0.930125247198418	6	6	"Sleep"	"Yes"	0
2	0.888372093023256	6	6	"Sleep"	"Yes"	0
3	0.906644518272425	6	6	"Sleep"	"Yes"	0
4	0.915460526315789	6	6	"Sleep"	"Yes"	0
