"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
1	0.896825396825397	1	1	"Sleep"	"Yes"	0
2	0.948717948717949	1	1	"Sleep"	"Yes"	0
3	0.913770053475936	1	1	"Sleep"	"Yes"	0
4	0.886904761904762	1	1	"Sleep"	"Yes"	0
5	0.908716540837337	1	1	"Sleep"	"Yes"	0
6	0.884358288770054	1	1	"Sleep"	"Yes"	0
7	0.891919191919192	1	1	"Sleep"	"Yes"	0
8	0.896345514950166	1	1	"Sleep"	"Yes"	0
9	0.909360580092287	1	1	"Sleep"	"Yes"	0
10	0.936544850498339	1	1	"Sleep"	"Yes"	0
11	0.925252525252525	1	1	"Sleep"	"Yes"	0
12	0.899003322259136	1	1	"Sleep"	"Yes"	0
13	0.846052631578947	1	1	"Sleep"	"Yes"	0
14	0.897435897435897	1	1	"Sleep"	"Yes"	0
15	0.889266304347826	1	1	"Sleep"	"Yes"	0
16	0.923026315789474	1	1	"Sleep"	"Yes"	0
17	0.906746031746032	1	1	"Sleep"	"Yes"	0
18	0.909210526315789	1	1	"Sleep"	"Yes"	0
19	0.936141304347826	1	1	"Sleep"	"Yes"	0
20	0.945945945945946	1	1	"Sleep"	"Yes"	0
21	0.884210526315789	1	1	"Sleep"	"Yes"	0
22	0.878396739130435	1	1	"Sleep"	"Yes"	0
23	0.935897435897436	1	1	"Sleep"	"Yes"	0
24	0.91025641025641	1	1	"Sleep"	"Yes"	0
25	0.895847066578774	1	1	"Sleep"	"Yes"	0
26	0.879401993355482	1	1	"Sleep"	"Yes"	0
27	0.887700534759358	1	1	"Sleep"	"Yes"	0
28	0.918650793650794	1	1	"Sleep"	"Yes"	0
29	0.886184210526316	1	1	"Sleep"	"Yes"	0
30	0.922874093605801	1	1	"Sleep"	"Yes"	0
1	0.934193121693122	2	2	"Sleep"	"Yes"	0
2	0.975328947368421	2	2	"Sleep"	"Yes"	0
3	0.962524654832347	2	2	"Sleep"	"Yes"	0
4	0.900793650793651	2	2	"Sleep"	"Yes"	0
5	0.965277777777778	2	2	"Sleep"	"Yes"	0
6	0.948172757475083	2	2	"Sleep"	"Yes"	0
7	0.913157894736842	2	2	"Sleep"	"Yes"	0
8	0.906644518272425	2	2	"Sleep"	"Yes"	0
9	0.961129568106312	2	2	"Sleep"	"Yes"	0
10	0.95	2	2	"Sleep"	"Yes"	0
11	0.922554347826087	2	2	"Sleep"	"Yes"	0
12	0.926829268292683	2	2	"Sleep"	"Yes"	0
13	0.964403427818062	2	2	"Sleep"	"Yes"	0
14	0.9625	2	2	"Sleep"	"Yes"	0
15	0.926470588235294	2	2	"Sleep"	"Yes"	0
16	0.896345514950166	2	2	"Sleep"	"Yes"	0
17	0.950657894736842	2	2	"Sleep"	"Yes"	0
18	0.916943521594684	2	2	"Sleep"	"Yes"	0
19	0.963085036255768	2	2	"Sleep"	"Yes"	0
20	0.90265780730897	2	2	"Sleep"	"Yes"	0
21	0.942513368983957	2	2	"Sleep"	"Yes"	0
22	0.9649064171123	2	2	"Sleep"	"Yes"	0
23	0.974950560316414	2	2	"Sleep"	"Yes"	0
24	0.915187376725838	2	2	"Sleep"	"Yes"	0
25	0.90138067061144	2	2	"Sleep"	"Yes"	0
26	0.98780487804878	2	2	"Sleep"	"Yes"	0
27	0.923280423280423	2	2	"Sleep"	"Yes"	0
28	0.85175017158545	2	2	"Sleep"	"Yes"	0
29	0.925	2	2	"Sleep"	"Yes"	0
30	0.913974950560316	2	2	"Sleep"	"Yes"	0
1	0.901315789473684	2	3	"Sleep"	"Yes"	0
2	0.9421926910299	2	3	"Sleep"	"Yes"	0
3	0.913815789473684	2	3	"Sleep"	"Yes"	0
4	0.889144736842105	2	3	"Sleep"	"Yes"	0
5	0.952874331550802	2	3	"Sleep"	"Yes"	0
6	0.906060606060606	2	3	"Sleep"	"Yes"	0
7	0.931818181818182	2	3	"Sleep"	"Yes"	0
8	0.925510876730389	2	3	"Sleep"	"Yes"	0
9	0.939184746877055	2	3	"Sleep"	"Yes"	0
10	0.937209302325581	2	3	"Sleep"	"Yes"	0
11	0.898355263157895	2	3	"Sleep"	"Yes"	0
12	0.915343915343915	2	3	"Sleep"	"Yes"	0
13	0.9	2	3	"Sleep"	"Yes"	0
14	0.962096242584047	2	3	"Sleep"	"Yes"	0
15	0.92093023255814	2	3	"Sleep"	"Yes"	0
16	0.963955026455027	2	3	"Sleep"	"Yes"	0
17	0.938815789473684	2	3	"Sleep"	"Yes"	0
18	0.887573964497041	2	3	"Sleep"	"Yes"	0
19	0.919601328903655	2	3	"Sleep"	"Yes"	0
20	0.904761904761905	2	3	"Sleep"	"Yes"	0
21	0.925595238095238	2	3	"Sleep"	"Yes"	0
22	0.912037037037037	2	3	"Sleep"	"Yes"	0
23	0.938157894736842	2	3	"Sleep"	"Yes"	0
24	0.943783068783069	2	3	"Sleep"	"Yes"	0
25	0.957880434782609	2	3	"Sleep"	"Yes"	0
26	0.919786096256685	2	3	"Sleep"	"Yes"	0
27	0.896052631578947	2	3	"Sleep"	"Yes"	0
28	0.94973544973545	2	3	"Sleep"	"Yes"	0
29	0.975	2	3	"Sleep"	"Yes"	0
30	0.952631578947368	2	3	"Sleep"	"Yes"	0
1	0.932539682539683	4	4	"Sleep"	"Yes"	0
2	0.933887043189369	4	4	"Sleep"	"Yes"	0
3	0.916943521594684	4	4	"Sleep"	"Yes"	0
4	0.929322813938199	4	4	"Sleep"	"Yes"	0
5	0.990033222591362	4	4	"Sleep"	"Yes"	0
6	0.923280423280423	4	4	"Sleep"	"Yes"	0
7	0.951347797501644	4	4	"Sleep"	"Yes"	0
8	0.928571428571429	4	4	"Sleep"	"Yes"	0
9	0.852960526315789	4	4	"Sleep"	"Yes"	0
10	0.940342781806196	4	4	"Sleep"	"Yes"	0
11	0.934883720930233	4	4	"Sleep"	"Yes"	0
12	0.907000686341798	4	4	"Sleep"	"Yes"	0
13	0.946801346801347	4	4	"Sleep"	"Yes"	0
14	0.942320369149637	4	4	"Sleep"	"Yes"	0
15	0.956822676334872	4	4	"Sleep"	"Yes"	0
16	0.947494852436513	4	4	"Sleep"	"Yes"	0
17	0.864784053156146	4	4	"Sleep"	"Yes"	0
18	0.885382059800664	4	4	"Sleep"	"Yes"	0
19	0.863636363636364	4	4	"Sleep"	"Yes"	0
20	0.886184210526316	4	4	"Sleep"	"Yes"	0
21	0.94825313117996	4	4	"Sleep"	"Yes"	0
22	0.926578073089701	4	4	"Sleep"	"Yes"	0
23	0.897569444444444	4	4	"Sleep"	"Yes"	0
24	0.84692513368984	4	4	"Sleep"	"Yes"	0
25	0.971875	4	4	"Sleep"	"Yes"	0
26	0.916611733684904	4	4	"Sleep"	"Yes"	0
27	0.917930125247198	4	4	"Sleep"	"Yes"	0
28	0.888227513227513	4	4	"Sleep"	"Yes"	0
29	0.941137566137566	4	4	"Sleep"	"Yes"	0
30	0.954695767195767	4	4	"Sleep"	"Yes"	0
1	0.920118343195266	4	5	"Sleep"	"Yes"	0
2	0.924342105263158	4	5	"Sleep"	"Yes"	0
3	0.929136453526697	5	5	"Sleep"	"Yes"	0
4	0.926644736842105	4	5	"Sleep"	"Yes"	0
5	0.901450230718523	5	5	"Sleep"	"Yes"	0
6	0.927631578947368	5	5	"Sleep"	"Yes"	0
7	0.884027777777778	5	5	"Sleep"	"Yes"	0
8	0.945394736842105	4	5	"Sleep"	"Yes"	0
9	0.963815789473684	4	5	"Sleep"	"Yes"	0
10	0.832880434782609	5	5	"Sleep"	"Yes"	0
11	0.914021164021164	4	5	"Sleep"	"Yes"	0
12	0.925913621262458	4	5	"Sleep"	"Yes"	0
13	0.88034188034188	4	5	"Sleep"	"Yes"	0
14	0.937171052631579	5	5	"Sleep"	"Yes"	0
15	0.992089650626236	5	5	"Sleep"	"Yes"	0
16	0.943121693121693	5	5	"Sleep"	"Yes"	0
17	0.963744232036915	5	5	"Sleep"	"Yes"	0
18	0.913315754779169	5	5	"Sleep"	"Yes"	0
19	0.902695595003287	5	5	"Sleep"	"Yes"	0
20	0.976315789473684	5	5	"Sleep"	"Yes"	0
21	0.896506262359921	4	5	"Sleep"	"Yes"	0
22	0.914496833216045	5	5	"Sleep"	"Yes"	0
23	0.891447368421053	4	5	"Sleep"	"Yes"	0
24	0.939842209072978	5	5	"Sleep"	"Yes"	0
25	0.95249169435216	4	5	"Sleep"	"Yes"	0
26	0.894949494949495	4	5	"Sleep"	"Yes"	0
27	0.877142857142857	5	5	"Sleep"	"Yes"	0
28	0.874424720578567	5	5	"Sleep"	"Yes"	0
29	0.896164021164021	4	5	"Sleep"	"Yes"	0
