"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.695083774250441	1	1	"Churn"	"Yes"	0
2	0.695184630738523	1	1	"Churn"	"Yes"	0
3	0.732450738916256	1	1	"Churn"	"Yes"	0
4	0.71138375917025	1	1	"Churn"	"Yes"	0
5	0.671017927893385	1	1	"Churn"	"Yes"	0
6	0.692309560823941	1	1	"Churn"	"Yes"	0
7	0.714718260462941	1	1	"Churn"	"Yes"	0
8	0.715332292994389	1	1	"Churn"	"Yes"	0
9	0.690511411665258	1	1	"Churn"	"Yes"	0
10	0.73480229120473	1	1	"Churn"	"Yes"	0
11	0.681576501864465	1	1	"Churn"	"Yes"	0
12	0.673745265151515	1	1	"Churn"	"Yes"	0
13	0.699704374057315	1	1	"Churn"	"Yes"	0
14	0.698927145708583	1	1	"Churn"	"Yes"	0
15	0.68384394116391	1	1	"Churn"	"Yes"	0
16	0.716766467065868	1	1	"Churn"	"Yes"	0
17	0.682813932747987	1	1	"Churn"	"Yes"	0
18	0.69373468867433	1	1	"Churn"	"Yes"	0
19	0.689106913625527	1	1	"Churn"	"Yes"	0
20	0.707100324792494	1	1	"Churn"	"Yes"	0
21	0.714885491104103	1	1	"Churn"	"Yes"	0
22	0.71768570662376	1	1	"Churn"	"Yes"	0
23	0.680212786630393	1	1	"Churn"	"Yes"	0
24	0.679107140406494	1	1	"Churn"	"Yes"	0
25	0.705369072931553	1	1	"Churn"	"Yes"	0
26	0.690101897359034	1	1	"Churn"	"Yes"	0
27	0.706246050528455	1	1	"Churn"	"Yes"	0
28	0.722751439964555	1	1	"Churn"	"Yes"	0
29	0.734211476001444	1	1	"Churn"	"Yes"	0
30	0.711643062397373	1	1	"Churn"	"Yes"	0
1	0.706712319917307	2	2	"Churn"	"Yes"	0
2	0.697669400086319	2	2	"Churn"	"Yes"	0
3	0.690826231060606	2	2	"Churn"	"Yes"	0
4	0.697615932876218	2	2	"Churn"	"Yes"	0
5	0.864190193164933	2	2	"Churn"	"Yes"	0
6	0.715317254756859	2	2	"Churn"	"Yes"	0
7	0.741109896873548	2	2	"Churn"	"Yes"	0
8	0.692066912972085	2	2	"Churn"	"Yes"	0
9	0.711144130757801	2	2	"Churn"	"Yes"	0
10	0.670303143712575	2	2	"Churn"	"Yes"	0
11	0.706333458465169	2	2	"Churn"	"Yes"	0
12	0.688661052535488	2	2	"Churn"	"Yes"	0
13	0.684069315216856	2	2	"Churn"	"Yes"	0
14	0.726397400676247	2	2	"Churn"	"Yes"	0
15	0.733771543980076	2	2	"Churn"	"Yes"	0
16	0.691595776772247	2	2	"Churn"	"Yes"	0
17	0.740353037766831	2	2	"Churn"	"Yes"	0
18	0.694528875379939	2	2	"Churn"	"Yes"	0
19	0.718413243791972	2	2	"Churn"	"Yes"	0
20	0.725650985469717	2	2	"Churn"	"Yes"	0
21	0.722793561896738	2	2	"Churn"	"Yes"	0
22	0.705665024630542	2	2	"Churn"	"Yes"	0
23	0.697469325153374	2	2	"Churn"	"Yes"	0
24	0.694067103109656	2	2	"Churn"	"Yes"	0
25	0.721357601336499	2	2	"Churn"	"Yes"	0
26	0.693146304675716	2	2	"Churn"	"Yes"	0
27	0.70321568627451	2	2	"Churn"	"Yes"	0
28	0.691321070234114	2	2	"Churn"	"Yes"	0
29	0.697345132743363	2	2	"Churn"	"Yes"	0
30	0.702542334200557	2	2	"Churn"	"Yes"	0
1	0.88341605524385	3	3	"Churn"	"Yes"	0
2	0.874830808475194	3	3	"Churn"	"Yes"	0
3	0.900683025550215	3	3	"Churn"	"Yes"	0
4	0.703338696701529	2	3	"Churn"	"Yes"	0
5	0.674635070214339	2	3	"Churn"	"Yes"	0
6	0.724782159208389	3	3	"Churn"	"Yes"	0
7	0.862846453010387	3	3	"Churn"	"Yes"	0
8	0.863788853895659	3	3	"Churn"	"Yes"	0
9	0.9045055386558	3	3	"Churn"	"Yes"	0
10	0.887732459847844	3	3	"Churn"	"Yes"	0
11	0.66120658678925	2	3	"Churn"	"Yes"	0
12	0.710922171353826	2	3	"Churn"	"Yes"	0
13	0.679668174962293	2	3	"Churn"	"Yes"	0
14	0.879336349924585	3	3	"Churn"	"Yes"	0
15	0.898976001443522	3	3	"Churn"	"Yes"	0
16	0.696699064735008	2	3	"Churn"	"Yes"	0
17	0.709496418110597	2	3	"Churn"	"Yes"	0
18	0.692832176438734	2	3	"Churn"	"Yes"	0
19	0.709046659953004	2	3	"Churn"	"Yes"	0
20	0.694267368810052	2	3	"Churn"	"Yes"	0
21	0.889337225274725	3	3	"Churn"	"Yes"	0
22	0.900107044970651	3	3	"Churn"	"Yes"	0
23	0.697095111666406	2	3	"Churn"	"Yes"	0
24	0.861179221883637	3	3	"Churn"	"Yes"	0
25	0.71657280772325	2	3	"Churn"	"Yes"	0
26	0.719548872180451	2	3	"Churn"	"Yes"	0
27	0.852459016393443	3	3	"Churn"	"Yes"	0
28	0.702692842955777	2	3	"Churn"	"Yes"	0
29	0.861732784431138	3	3	"Churn"	"Yes"	0
30	0.726835390085756	2	3	"Churn"	"Yes"	0
1	0.920408351810791	4	4	"Churn"	"Yes"	0
2	0.9194639060267	4	4	"Churn"	"Yes"	0
3	0.902483208055428	4	4	"Churn"	"Yes"	0
4	0.927320075757576	4	4	"Churn"	"Yes"	0
5	0.932279503177757	4	4	"Churn"	"Yes"	0
6	0.916630612913799	4	4	"Churn"	"Yes"	0
7	0.897242239467849	4	4	"Churn"	"Yes"	0
8	0.921418489392637	4	4	"Churn"	"Yes"	0
9	0.906283019864751	4	4	"Churn"	"Yes"	0
10	0.910568355240486	4	4	"Churn"	"Yes"	0
11	0.912369011976048	4	4	"Churn"	"Yes"	0
12	0.893682648758395	4	4	"Churn"	"Yes"	0
13	0.920239733681524	4	4	"Churn"	"Yes"	0
14	0.934560823940925	4	4	"Churn"	"Yes"	0
15	0.916735131681044	4	4	"Churn"	"Yes"	0
16	0.939553160864636	4	4	"Churn"	"Yes"	0
17	0.9204309895689	4	4	"Churn"	"Yes"	0
18	0.922600827474856	4	4	"Churn"	"Yes"	0
19	0.918982318831048	4	4	"Churn"	"Yes"	0
20	0.912371600232573	4	4	"Churn"	"Yes"	0
21	0.925588172488726	4	4	"Churn"	"Yes"	0
22	0.931204071386188	4	4	"Churn"	"Yes"	0
23	0.932764951394759	4	4	"Churn"	"Yes"	0
24	0.916919558428992	4	4	"Churn"	"Yes"	0
25	0.895635893246187	4	4	"Churn"	"Yes"	0
26	0.922177394706278	4	4	"Churn"	"Yes"	0
27	0.932125357624388	4	4	"Churn"	"Yes"	0
28	0.911444947209653	4	4	"Churn"	"Yes"	0
29	0.919319296368477	4	4	"Churn"	"Yes"	0
30	0.937238572559069	4	4	"Churn"	"Yes"	0
1	0.900957063257948	5	5	"Churn"	"Yes"	0
2	0.93728745627672	5	5	"Churn"	"Yes"	0
3	0.935856853952343	5	5	"Churn"	"Yes"	0
4	0.931901285612766	5	5	"Churn"	"Yes"	0
5	0.919414829250895	5	5	"Churn"	"Yes"	0
6	0.944156716060039	5	5	"Churn"	"Yes"	0
7	0.890561902152549	5	5	"Churn"	"Yes"	0
8	0.904494996113486	5	5	"Churn"	"Yes"	0
9	0.935637181067141	5	5	"Churn"	"Yes"	0
10	0.947798153692615	5	5	"Churn"	"Yes"	0
11	0.931927829468813	5	5	"Churn"	"Yes"	0
12	0.960132575757576	5	5	"Churn"	"Yes"	0
13	0.938186127744511	5	5	"Churn"	"Yes"	0
14	0.914720964131397	5	5	"Churn"	"Yes"	0
15	0.911759800826712	5	5	"Churn"	"Yes"	0
16	0.885827299544114	5	5	"Churn"	"Yes"	0
17	0.907831070889894	5	5	"Churn"	"Yes"	0
18	0.902377414561664	5	5	"Churn"	"Yes"	0
19	0.940202987024406	5	5	"Churn"	"Yes"	0
20	0.913181319351299	5	5	"Churn"	"Yes"	0
21	0.910129763853168	5	5	"Churn"	"Yes"	0
22	0.921932886225833	5	5	"Churn"	"Yes"	0
23	0.900904441117764	5	5	"Churn"	"Yes"	0
24	0.935351910173901	5	5	"Churn"	"Yes"	0
25	0.904048153692615	5	5	"Churn"	"Yes"	0
